StoryText,SemanticAmbiguity,ScopeAmbiguity,ActorAmbiguity,AcceptanceAmbiguity,DependencyAmbiguity,PriorityAmbiguity,TechnicalAmbiguity,augmented
As a bank customer I track spending via statements. <TBD_PRECONDITION>,0,0,0,0,1,0,0,True
As a investor I want high priority transfers. <TBD_URGENCY>,0,0,0,0,0,1,0,True
As a user I want to process data quickly.,1,0,1,0,0,0,0,False
As a nurse I depend on upstream vitals. <TBD_DEPENDENCY>,0,0,0,0,1,0,0,True
As a doctor I want to update system to save time.,1,0,0,1,0,0,0,False
As a caregiver I improve patient care with fast performance. <TBD_ACTION_SPECIFICATION> <TBD_ACCEPTANCE_CRITERIA> <TBD_INTEGRATION_POINT>,1,0,0,1,0,0,1,True
As a bank customer I track spending via statements.,0,0,0,0,1,0,0,False
As a investor I want balance view as soon as possible.,0,0,0,0,0,1,0,False
As a user I want to process data quickly. <TBD_ACTION_SPECIFICATION> <TBD_PERMISSION_LEVEL>,1,0,1,0,0,0,0,True
As a user I want vague benefits without metrics. <TBD_ACTION_SPECIFICATION> <TBD_PERMISSION_LEVEL> <TBD_MEASURABLE_OUTCOME>,1,0,1,1,0,0,0,True
As a nurse I need to update system when needed. <TBD_SCOPE_ENTITY> <TBD_DEPENDENCY>,0,1,0,0,1,0,0,True
As a financial advisor I process application with regulations.,0,0,0,0,0,0,1,False
As a caregiver I improve patient care with fast performance. <TBD_QUALIFIER> <TBD_ACCEPTANCE_CRITERIA> <TBD_INTEGRATION_POINT>,1,0,0,1,0,0,1,True
As a nurse I update patient info urgently.,0,1,0,1,0,1,0,False
As a doctor I want to update system to save time. <TBD_QUALIFIER> <TBD_ACCEPTANCE_CRITERIA>,1,0,0,1,0,0,0,True
As a loan officer I want to access system for goals. <TBD_QUALIFIER> <TBD_SCOPE_CONDITION> <TBD_ROLE>,1,1,1,0,0,0,0,True
As a user I want to manage items appropriately.,1,0,1,1,0,0,0,False
As a doctor I save time updating records.,1,0,0,1,0,0,0,False
As a user I want robust error handling. <TBD_METRIC> <TBD_MEASURABLE_OUTCOME> <TBD_PERFORMANCE_TARGET>,1,0,0,1,0,0,1,True
As a network admin I need to process requests.,0,0,1,0,1,0,0,False
As a loan officer I want to access system for goals.,1,1,1,0,0,0,0,False
As a nurse I need to update system when needed. <TBD_SCOPE_ENTITY> <TBD_DEPENDENCY>,0,1,0,0,1,0,0,True
As a nurse I need to update system when needed.,0,1,0,0,1,0,0,False
As a nurse I update patient info urgently. <TBD_SCOPE_CONDITION> <TBD_ACCEPTANCE_CRITERIA> <TBD_URGENCY>,0,1,0,1,0,1,0,True
As a user I want robust error handling.,1,0,0,1,0,0,1,False
As a doctor I save time updating records. <TBD_ACTION_SPECIFICATION> <TBD_MEASURABLE_OUTCOME>,1,0,0,1,0,0,0,True
As a quality inspector I need to schedule maintenance. <TBD_ACCEPTANCE_CRITERIA> <TBD_INTEGRATION_POINT>,0,0,0,1,0,0,1,True
As a nurse I access records under conditions. <TBD_SCOPE_CONDITION>,0,1,0,0,0,0,0,True
As a account holder I want statements for security. <TBD_SCOPE_ENTITY> <TBD_PRECONDITION> <TBD_PERFORMANCE_TARGET>,0,1,0,0,1,0,1,True
As a user I want vague benefits without metrics. <TBD_QUALIFIER> <TBD_ROLE> <TBD_ACCEPTANCE_CRITERIA>,1,0,1,1,0,0,0,True
As a user I handle requests comprehensively.,1,0,0,0,0,0,0,False
As a financial advisor I process application with regulations. <TBD_PERFORMANCE_TARGET>,0,0,0,0,0,0,1,True
As a caregiver I want fast performance for updates. <TBD_PERFORMANCE_TARGET>,0,0,0,0,0,0,1,True
As a bank customer I need to download statements. <TBD_DEPENDENCY>,0,0,0,0,1,0,0,True
As a user I want to process data quickly. <TBD_QUALIFIER> <TBD_ROLE>,1,0,1,0,0,0,0,True
As a investor I want balance view as soon as possible. <TBD_PRIORITY_LEVEL>,0,0,0,0,0,1,0,True
As a user I want to prescribe medication.,0,0,1,0,0,0,0,False
As a doctor I want to update system to save time. <TBD_QUALIFIER> <TBD_ACCEPTANCE_CRITERIA>,1,0,0,1,0,0,0,True
As a user I want robust error handling. <TBD_METRIC> <TBD_MEASURABLE_OUTCOME> <TBD_PERFORMANCE_TARGET>,1,0,0,1,0,0,1,True
As a user I want to prescribe medication. <TBD_PERMISSION_LEVEL>,0,0,1,0,0,0,0,True
As a quality inspector I need to schedule maintenance. <TBD_MEASURABLE_OUTCOME> <TBD_TECH_CONSTRAINT>,0,0,0,1,0,0,1,True
As a user I want to manage items appropriately. <TBD_QUALIFIER> <TBD_PERMISSION_LEVEL> <TBD_ACCEPTANCE_CRITERIA>,1,0,1,1,0,0,0,True
As a nurse I update patient info urgently. <TBD_SCOPE_ENTITY> <TBD_MEASURABLE_OUTCOME> <TBD_URGENCY>,0,1,0,1,0,1,0,True
As a bank customer I need to download statements.,0,0,0,0,1,0,0,False
As a nurse I depend on upstream vitals.,0,0,0,0,1,0,0,False
As a caregiver I want fast performance for updates.,0,0,0,0,0,0,1,False
As a user I handle requests comprehensively. <TBD_ACTION_SPECIFICATION>,1,0,0,0,0,0,0,True
As a network admin I need to process requests. <TBD_ROLE> <TBD_PRECONDITION>,0,0,1,0,1,0,0,True
As a loan officer I want to access system for goals. <TBD_METRIC> <TBD_SCOPE_CONDITION> <TBD_ROLE>,1,1,1,0,0,0,0,True
As a caregiver I meet compliance soon.,0,1,0,0,0,1,0,False
As a caregiver I meet compliance soon. <TBD_SCOPE_CONDITION> <TBD_PRIORITY_LEVEL>,0,1,0,0,0,1,0,True
As a account holder I want statements for security.,0,1,0,0,1,0,1,False
As a user I want vague benefits without metrics.,1,0,1,1,0,0,0,False
As a nurse I access records under conditions.,0,1,0,0,0,0,0,False
As a caregiver I meet compliance soon. <TBD_SCOPE_CONDITION> <TBD_PRIORITY_LEVEL>,0,1,0,0,0,1,0,True
As a investor I want high priority transfers.,0,0,0,0,0,1,0,False
As a quality inspector I need to schedule maintenance.,0,0,0,1,0,0,1,False
As a account holder I want statements for security. <TBD_SCOPE_CONDITION> <TBD_PRECONDITION> <TBD_INTEGRATION_POINT>,0,1,0,0,1,0,1,True
As a caregiver I improve patient care with fast performance.,1,0,0,1,0,0,1,False
As a user I want to manage items appropriately. <TBD_ACTION_SPECIFICATION> <TBD_ROLE> <TBD_ACCEPTANCE_CRITERIA>,1,0,1,1,0,0,0,True
As a doctor I save time updating records. <TBD_ACTION_SPECIFICATION> <TBD_ACCEPTANCE_CRITERIA>,1,0,0,1,0,0,0,True
As a network admin I need to process requests. <TBD_PERMISSION_LEVEL> <TBD_DEPENDENCY>,0,0,1,0,1,0,0,True
